x,native_cos,std_cos
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
1.570794582366943359e+00,1.788166628102771938e-06,1.744428004712972324e-06
